itemLabel,ICAO_airport_code,countryLabel,located_in_the_administrative_territorial_entityLabel,coordinate_location
Kigali International Airport,HRYR,Rwanda,Kigali province,Point(30.133056111 -1.966388888)
Lamezia Terme International Airport,LICA,Italy,Lamezia Terme,Point(16.242222222 38.905277777)
Charleston International Airport,KCHS,United States of America,South Carolina,Point(-80.040555555 32.898611111)
Sentani Airport,WAJJ,Indonesia,Jayapura,Point(140.5120913 -2.5764603)
Debrecen International Airport,LHDC,Hungary,Hajdú-Bihar County,Point(21.615277777 47.488888888)
Heydar Aliyev International Airport,UBBB,Azerbaijan,Baku,Point(50.046666666 40.4675)
Cat Bi International Airport,VVCI,Vietnam,Haiphong,Point(106.724722222 20.819166666)
Ashgabat International Airport,UTAA,Turkmenistan,Ahal Region,Point(58.360833333 37.986944444)
Portland International Airport,KPDX,United States of America,Portland,Point(-122.5975 45.588611111)
Tampere-Pirkkala Airport,EFTP,Finland,Pirkkala,Point(23.587777777 61.415277777)
Pune Airport,VAPO,India,Pune,Point(73.919722222 18.582222222)
General Ignacio Pesqueira Garcia International Airport,MMHO,Mexico,Hermosillo,Point(-111.047777777 29.095833333)
Julius Nyerere International Airport,HTDA,Tanzania,Dar es Salaam Region,Point(39.202777777 -6.878055555)
Osaka International Airport,RJOO,Japan,Toyonaka,Point(135.438222222 34.785527777)
Clark International Airport,RPLC,Philippines,Central Luzon,Point(120.559722222 15.185833333)
Jinan Yaoqiang International Airport,ZSJN,People's Republic of China,Licheng District,Point(117.216111111 36.857222222)
Agadir–Al Massira Airport,GMAD,Morocco,Agadir,Point(-9.411388888 30.3225)
Philip S. W. Goldson International Airport,MZBZ,Belize,Belize District,Point(-88.308333333 17.539166666)
Wellington International Airport,NZWN,New Zealand,Rongotai,Point(174.811682 -41.328969)
Teniente Benjamin Matienzo International Airport,SANT,Argentina,Tucumán Province,Point(-65.10472222 -26.84083333)
Il Caravaggio International Airport,LIME,Italy,Orio al Serio,Point(9.69948 45.66547)
La Romana International Airport,MDLR,Dominican Republic,La Romana,Point(-68.911657 18.451074)
Larnaca International Airport,LCLK,Cyprus,Larnaca,Point(33.630277777 34.878888888)
Antonio B. Won Pat International Airport,PGUM,United States of America,Barrigada,Point(144.797222222 13.483888888)
Varna Airport,LBWN,Bulgaria,Varna Province,Point(27.825277777 43.231944444)
Zurich Airport,LSZH,Switzerland,Canton of Zurich,Point(8.549166666 47.464722222)
Palmerston North International Airport,NZPM,New Zealand,Palmerston North,Point(175.616944444 -40.320555555)
Puerto Princesa International Airport,RPVP,Philippines,Western Visayas,Point(118.758611111 9.742222222)
Donetsk International Airport,UKCC,Ukraine,Donetsk Oblast,Point(37.742 48.069)
Košice International Airport,LZKZ,Slovakia,Košice-Barca,Point(21.241111111 48.663055555)
Fukuoka Airport,RJFF,Japan,Hakata-ku,Point(130.451666666 33.584444444)
Gran Canaria Airport,GCLP,Spain,Gran Canaria,Point(-15.386666666 27.931944444)
Sacramento International Airport,KSMF,United States of America,Sacramento,Point(-121.590833333 38.695555555)
Piarco International Airport,TTPP,Trinidad and Tobago,Piarco,Point(-61.337222222 10.595277777)
San Antonio International Airport,KSAT,United States of America,San Antonio,Point(-98.472 29.527)
Luxor International Airport,HELX,Egypt,Luxor,Point(32.706389 25.670833)
Václav Havel Airport Prague,LKPR,Czech Republic,Ruzyně,Point(14.26 50.100833333)
Salt Lake City International Airport,KSLC,United States of America,Salt Lake City,Point(-111.977777777 40.788333333)
Naples International Airport,LIRN,Italy,San Pietro a Patierno,Point(14.290833333 40.884444444)
Donetsk International Airport,UKCC,Ukraine,Donetsk,Point(37.742 48.069)
Pisa International Airport,LIRP,Italy,Pisa,Point(10.3925 43.683888888)
Mae Fah Luang – Chiang Rai International Airport,VTCT,Thailand,Ban Du,Point(99.882777777 19.952222222)
Bamako-Senou International Airport,GABS,Mali,Bamako,Point(-7.943055555 12.537777777)
London City Airport,EGLC,United Kingdom,London Borough of Newham,Point(0.055278 51.505278)
Fort McMurray International Airport,CYMM,Canada,Alberta,Point(-111.223 56.6533)
Birmingham Airport,EGBB,United Kingdom,Bickenhill,Point(-1.748055555 52.453888888)
Fuerteventura Airport,GCFV,Spain,Puerto del Rosario,Point(-13.863888888 28.452777777)
Marechal Rondon International Airport,SBCY,Brazil,Várzea Grande (Mato Grosso),Point(-56.1175 -15.65)
Val de Cans International Airport,SBBE,Brazil,Pará,Point(-48.47889 -1.38472)
Stockholm Bromma Airport,ESSB,Sweden,Stockholm County,Point(17.939722222 59.354444444)
Los Angeles International Airport,KLAX,United States of America,Los Angeles,Point(-118.408056 33.9425)
Ngurah Rai International Airport,WADD,Indonesia,Tuban,Point(115.1675 -8.748055555)
King Khalid International Airport,OERK,Saudi Arabia,Riyadh,Point(46.698888888 24.957777777)
Yantai Laishan International Airport,ZSYT,People's Republic of China,Laishan District,Point(121.371666666 37.401666666)
Marechal Rondon International Airport,SBCY,Brazil,Mato Grosso,Point(-56.1175 -15.65)
Brussels Airport,EBBR,Belgium,Zaventem,Point(4.484444444 50.901388888)
Toronto Pearson International Airport,CYYZ,Canada,Mississauga,Point(-79.6306 43.6767)
Ernesto Cortissoz International Airport,SKBQ,Colombia,Barranquilla,Point(-74.781766666 10.888569444)
Hewanorra International Airport,TLPL,Saint Lucia,Vieux Fort Quarter,Point(-60.9525 13.733333333)
Edmonton International Airport,CYEG,Canada,Alberta,Point(-113.579444444 53.31)
Midway International Airport,KMDW,United States of America,Chicago,Point(-87.7525 41.786111111)
Rosario – Islas Malvinas International Airport,SAAR,Argentina,Santa Fe Province,Point(-60.78444444 -32.90361111)
Langkawi International Airport,WMKL,Malaysia,Kedah,Point(99.728611111 6.329722222)
Port Hedland International Airport,YPPD,Australia,Western Australia,Point(118.626388888 -20.377777777)
Bangor International Airport,KBGR,United States of America,Maine,Point(-68.828055555 44.807222222)
McAllen-Miller International Airport,KMFE,United States of America,Texas,Point(-98.238611111 26.175833333)
